Address,Parcel ID,Contractor Name,Price,Primary Funding Source,Demolition Date,Commercial Building,Council_District,Neighborhood,Latitude,Longitude,Location,Street Direction,Street Number,Street Name,Street Type
3617 Joseph Campau,11002780-1,Able Demolition,18180.00,Non-HHF,08/19/2019,No,5,McDougall-Hunt,42.357781,-83.032172,"location
(42.357781, -83.032172)",,3617,JOSEPH CAMPAU,St
457 Erle,01005500.,Leadhead Construction,28678.32,HHF,08/19/2019,No,2,Grixdale Farms,42.424571,-83.108035,"location
(42.424571, -83.108035)",,457,ERLE,St
4462 Lillibridge,21042776.,Able Demolition,18483.00,Non-HHF,08/19/2019,No,4,West End,42.383175,-82.983897,"location
(42.383175, -82.983897)",,4462,LILLIBRIDGE,St
11706 Meyers,18018714.,Homrich,30233.23,HHF,08/19/2019,No,7,Grand River-I96,42.374814,-83.167853,"location
(42.374814, -83.167853)",,11706,MEYERS,Rd
18546 Hull,09019774.,Rickman Enterprise Group,16063.34,HHF,08/19/2019,No,3,Hawthorne Park,42.42877,-83.088462,"location
(42.42877, -83.088462)",,18546,HULL,St
13522 Sorrento,22023469.,Homrich,20568.42,HHF,08/19/2019,No,7,Grand River-I96,42.386182,-83.171631,"location
(42.386182, -83.171631)",,13522,SORRENTO,St
7587 E Hildale,15004657.,Able Demolition,31783.13,HHF,08/19/2019,No,3,Grant,42.430475,-83.025684,"location
(42.430475, -83.025684)",E,7587,HILDALE,St
10030 Nottingham,21066546.,DMC Consultants,14770.00,HHF,08/19/2019,No,4,Outer Drive-Hayes,42.412387,-82.952641,"location
(42.412387, -82.952641)",,10030,NOTTINGHAM,Rd
15753 Mark Twain,22037235.,Homrich,25736.12,HHF,08/19/2019,No,1,Bethune Community,42.406677,-83.187143,"location
(42.406677, -83.187143)",,15753,MARK TWAIN,St
13117 Appoline,22021806.,Homrich,20921.42,HHF,08/19/2019,No,7,Grand River-I96,42.383669,-83.169941,"location
(42.383669, -83.169941)",,13117,APPOLINE,
5664 23rd St,12008198.,DMC Consultants,15753.00,Non-HHF,08/16/2019,No,5,Midwest,42.351136,-83.102793,"location
(42.351136, -83.102793)",,5664,23RD ST,St
7521 Iowa,15004154.,Smalley,22000.75,HHF,08/16/2019,No,3,Grant,42.425341,-83.02579,"location
(42.425341, -83.02579)",,7521,IOWA,St
7465 Iowa,15004145.,Smalley,17946.75,HHF,08/16/2019,No,3,Grant,42.425319,-83.026828,"location
(42.425319, -83.026828)",,7465,IOWA,St
7435 Iowa,15004141.,Smalley,32194.75,HHF,08/16/2019,No,3,Grant,42.424876,-83.027175,"location
(42.424876, -83.027175)",,7435,IOWA,St
15450 Hubbell,22039047.002,Homrich,14709.48,HHF,08/16/2019,No,1,Bethune Community,42.404297,-83.188679,"location
(42.404297, -83.188679)",,15450,HUBBELL,St
15481 Ardmore,22035209.,Homrich,18041.47,HHF,08/16/2019,No,1,Bethune Community,42.404935,-83.184912,"location
(42.404935, -83.184912)",,15481,ARDMORE,St
11745 Appoline,22021860.,Homrich,26113.23,HHF,08/16/2019,No,7,Pride Area Community,42.375212,-83.169813,"location
(42.375212, -83.169813)",,11745,APPOLINE,
7493 Iowa,15004150.,Smalley,15922.75,HHF,08/16/2019,No,3,Grant,42.42533,-83.026323,"location
(42.42533, -83.026323)",,7493,IOWA,St
18817 Helen,15009398.,Smalley,12524.75,HHF,08/16/2019,No,3,Grant,42.432327,-83.031943,"location
(42.432327, -83.031943)",,18817,HELEN,St
12332 Sorrento,22023428.,Homrich,18226.23,HHF,08/16/2019,No,7,Pride Area Community,42.379351,-83.171718,"location
(42.379351, -83.171718)",,12332,SORRENTO,St
440 Cottrell,18009200.,Gayanga Co,50100.00,Non-HHF,08/16/2019,Yes,6,Delray,42.297608,-83.111143,"location
(42.297608, -83.111143)",,440,COTTRELL,St
8303 Lane,20003315.,Gayanga Co,80550.00,Non-HHF,08/16/2019,Yes,6,Springwells,42.306258,-83.126941,"location
(42.306258, -83.126941)",,8303,LANE,St
7870 Concord,15011027.,Gayanga Co,14404.00,Non-HHF,08/15/2019,No,3,Airport Sub,42.389446,-83.030675,"location
(42.389446, -83.030675)",,7870,CONCORD,St
13549 Trinity,22108952.,Salenbien Trucking & Excavating Inc.,20002.60,HHF,08/15/2019,No,1,Brightmoor,42.3845,-83.247963,"location
(42.3845, -83.247963)",,13549,TRINITY,St
11709 Sorrento,22024309.,Homrich,17760.43,HHF,08/15/2019,No,7,Pride Area Community,42.374718,-83.172269,"location
(42.374718, -83.172269)",,11709,SORRENTO,St
6865 Covert,15003424.,Able Demolition,17624.24,HHF,08/15/2019,No,3,Grant,42.420431,-83.030351,"location
(42.420431, -83.030351)",,6865,COVERT,St
5658 23rd St,12008197.,DMC Consultants,18560.00,Non-HHF,08/15/2019,No,5,Midwest,42.351061,-83.102745,"location
(42.351061, -83.102745)",,5658,23RD ST,St
12010 Steel,22022157.,Homrich,32298.43,HHF,08/15/2019,No,7,Pride Area Community,42.375814,-83.170346,"location
(42.375814, -83.170346)",,12010,STEEL,St
14525 Hubbell,22040047.,Homrich,14996.93,HHF,08/15/2019,No,1,Hubbell-Lyndon,42.394939,-83.188915,"location
(42.394939, -83.188915)",,14525,HUBBELL,St
12959 Sorrento,22024254.,Homrich,19014.62,HHF,08/15/2019,No,7,Grand River-I96,42.383001,-83.17209,"location
(42.383001, -83.17209)",,12959,SORRENTO,St
18518 Hull,09019770.,Rickman Enterprise Group,12520.34,HHF,08/15/2019,No,3,Hawthorne Park,42.4284,-83.088445,"location
(42.4284, -83.088445)",,18518,HULL,St
6745 Varjo,15004222.,Able Demolition,32142.89,HHF,08/15/2019,No,3,Grant,42.425954,-83.032749,"location
(42.425954, -83.032749)",,6745,VARJO,St
13551 Blackstone,22109508.,Salenbien Trucking & Excavating Inc.,10172.60,HHF,08/14/2019,No,1,Brightmoor,42.384477,-83.249094,"location
(42.384477, -83.249094)",,13551,BLACKSTONE,St
21127 Orchard,22014256.,Homrich,19087.50,HHF,08/14/2019,No,1,Holcomb Community,42.417793,-83.249722,"location
(42.417793, -83.249722)",,21127,ORCHARD,St
18431 Helen,15009429.,Smalley,27399.75,HHF,08/14/2019,No,3,Grant,42.42904,-83.031783,"location
(42.42904, -83.031783)",,18431,HELEN,St
18451 Helen,15009426.,Smalley,23084.75,HHF,08/14/2019,No,3,Grant,42.429299,-83.031798,"location
(42.429299, -83.031798)",,18451,HELEN,St
7589 Quinn,15004724.,Able Demolition,24350.94,HHF,08/14/2019,No,3,Grant,42.431379,-83.025732,"location
(42.431379, -83.025732)",,7589,QUINN,St
9351 Woodlawn,19003040.,Gayanga Co,19002.00,Non-HHF,08/14/2019,No,3,Airport Sub,42.39964,-83.012019,"location
(42.39964, -83.012019)",,9351,WOODLAWN,Ave
6800 Covert,15003387.,Able Demolition,19453.55,HHF,08/14/2019,No,3,Grant,42.419964,-83.031477,"location
(42.419964, -83.031477)",,6800,COVERT,St
18198 Hull,09019766.,Rickman Enterprise Group,19951.34,HHF,08/14/2019,No,3,Hawthorne Park,42.427857,-83.088413,"location
(42.427857, -83.088413)",,18198,HULL,St
9605 Archdale,22072093.,Homrich,29262.60,HHF,08/14/2019,No,7,Joy Community,42.366624,-83.215826,"location
(42.366624, -83.215826)",,9605,ARCHDALE,St
6802 Brimson,15003506.,Able Demolition,23207.32,HHF,08/14/2019,No,3,Grant,42.421597,-83.031567,"location
(42.421597, -83.031567)",,6802,BRIMSON,St
14377 Robson,22044297.,Homrich,17547.93,HHF,08/14/2019,No,1,Hubbell-Lyndon,42.39277,-83.192766,"location
(42.39277, -83.192766)",,14377,ROBSON,St
11731 Sorrento,22024306.,Homrich,14808.43,HHF,08/14/2019,No,7,Pride Area Community,42.375054,-83.172282,"location
(42.375054, -83.172282)",,11731,SORRENTO,St
18653 Helen,15009410.,Smalley,14343.75,HHF,08/14/2019,No,3,Grant,42.430999,-83.031891,"location
(42.430999, -83.031891)",,18653,HELEN,St
18511 Helen,15009418.,Smalley,18566.75,HHF,08/14/2019,No,3,Grant,42.430034,-83.031841,"location
(42.430034, -83.031841)",,18511,HELEN,St
18624 Helen,15009127.,Smalley,21266.75,HHF,08/14/2019,No,3,Grant,42.430631,-83.031233,"location
(42.430631, -83.031233)",,18624,HELEN,St
15748 Ardmore,22034671.,Homrich,19852.12,HHF,08/13/2019,No,2,Bethune Community,42.406461,-83.184404,"location
(42.406461, -83.184404)",,15748,ARDMORE,St
15702 Ardmore,22034663.,Homrich,24926.13,HHF,08/13/2019,No,2,Bethune Community,42.405693,-83.184365,"location
(42.405693, -83.184365)",,15702,ARDMORE,St
18416 Concord,15011117.,Smalley,22658.75,HHF,08/13/2019,No,3,Grant,42.428818,-83.032268,"location
(42.428818, -83.032268)",,18416,CONCORD,St
9320 Montrose,22052892.,Salenbien Trucking & Excavating Inc.,22383.63,HHF,08/13/2019,No,7,Joy Community,42.363856,-83.199029,"location
(42.363856, -83.199029)",,9320,MONTROSE,St
5316 Spokane,16003115.,Gayanga Co,27990.00,Non-HHF,08/13/2019,No,6,Midwest,42.35824,-83.128036,"location
(42.35824, -83.128036)",,5316,SPOKANE,St
17545 Gable,13012675.,Smalley,125.00,HHF,08/13/2019,No,3,Davison,42.423698,-83.042574,"location
(42.423698, -83.042574)",,17545,GABLE,St
13946 Coyle,22044857.,Homrich,26171.93,HHF,08/13/2019,No,1,Cadillac Community,42.387933,-83.194189,"location
(42.387933, -83.194189)",,13946,COYLE,St
13973 Westwood,22089995.,Homrich,21984.63,HHF,08/13/2019,No,1,Westwood Park,42.387526,-83.232386,"location
(42.387526, -83.232386)",,13973,WESTWOOD,St
6773 Covert,15003414.,Able Demolition,18600.50,HHF,08/13/2019,No,3,Grant,42.420395,-83.031991,"location
(42.420395, -83.031991)",,6773,COVERT,St
9926 Archdale,22071015.,Homrich,20356.59,HHF,08/13/2019,No,7,Joy Community,42.367964,-83.215175,"location
(42.367964, -83.215175)",,9926,ARCHDALE,St
18421 Gable,13012637.,Smalley,22042.75,HHF,08/13/2019,No,3,Grant,42.428264,-83.042815,"location
(42.428264, -83.042815)",,18421,GABLE,St
6852 Drake,15003430.,Able Demolition,18547.58,HHF,08/13/2019,No,3,Grant,42.420794,-83.030642,"location
(42.420794, -83.030642)",,6852,DRAKE,Rd
18138 Cardoni,09021114.,Rickman Enterprise Group,17570.33,HHF,08/13/2019,No,3,Hawthorne Park,42.426969,-83.090809,"location
(42.426969, -83.090809)",,18138,CARDONI,St
17154 Gable,13012341.,Smalley,21683.75,HHF,08/13/2019,No,3,Davison,42.419947,-83.042014,"location
(42.419947, -83.042014)",,17154,GABLE,St
19160 Carrie,15008274.,Smalley,29588.75,HHF,08/13/2019,No,3,Nortown,42.434827,-83.030471,"location
(42.434827, -83.030471)",,19160,CARRIE,St
18145 Fleming,09014828.,DMC Consultants,16800.00,Non-HHF,08/13/2019,No,3,Northeast Central District,42.427847,-83.079452,"location
(42.427847, -83.079452)",,18145,FLEMING,St
17577 Gable,13012670.,Smalley,15904.75,HHF,08/13/2019,No,3,Davison,42.424108,-83.042611,"location
(42.424108, -83.042611)",,17577,GABLE,St
15711 Freeland,22036193.,Homrich,18403.47,HHF,08/12/2019,No,1,Bethune Community,42.405749,-83.185949,"location
(42.405749, -83.185949)",,15711,FREELAND,St
1141 E Nevada,09006889.,Rickman Enterprise Group,15968.33,HHF,08/12/2019,No,3,Hawthorne Park,42.425217,-83.091459,"location
(42.425217, -83.091459)",E,1141,NEVADA,St
9988 Archdale,22071024.,Homrich,20516.59,HHF,08/12/2019,No,7,Joy Community,42.368849,-83.215181,"location
(42.368849, -83.215181)",,9988,ARCHDALE,St
6740 Covert,15003395.,Able Demolition,17370.73,HHF,08/12/2019,No,3,Grant,42.419939,-83.032534,"location
(42.419939, -83.032534)",,6740,COVERT,St
9940 Archdale,22071017.,Homrich,18894.59,HHF,08/12/2019,No,7,Joy Community,42.368155,-83.21518,"location
(42.368155, -83.21518)",,9940,ARCHDALE,St
12046 Archdale,22071076.,Homrich,16457.60,HHF,08/12/2019,No,7,Plymouth-I96,42.375172,-83.215425,"location
(42.375172, -83.215425)",,12046,ARCHDALE,St
